商品名,カテゴリ,色,スパーク,ボディ,メーカー,産地,地名,容量,価格,小売価格,コメント,味わい,画像
醸し人九平次　純米大吟醸　雄町　720,日本酒,,,,㈱萬乗醸造,愛知県,,720,2150,2365 ,爽やかな吟醸香に酸味と米の旨味が広がるバランスの良い,オイルや塩味と◎,
醸し人九平次　純米大吟醸　山田錦　720,日本酒,,,,㈱萬乗醸造,愛知県,,720,2150,2365 ,果実のニュアンスとスパイスの香り、旨みたっぷりでバランス◎,ワイングラスでぜひ！,
醸し人九平次　純米大吟醸ヒューマン,日本酒,,,,㈱萬乗醸造,愛知県,,720,3000,3300 ,梨やピンクグレープフルーツの香りが、華やかに広がります。,ワイングラスで！,
醸し人九平次　いのね　四つ星　720,日本酒,,,,㈱萬乗醸造,愛知県,,720,5000,5500 ,熟れた洋梨の香り、フレッシュな酸が口中で広がります。,九平次ファンは必飲！,
醸し人九平次　いのね　五つ星　720,日本酒,,,,㈱萬乗醸造,愛知県,,720,12000,13200 ,最高級の酒米で譲された、頂点に位置するお酒です。,米＝命の根「いのね」,
Ｗ（ﾀﾞﾌﾞﾘｭｰ）山田錦45　純米無濾過原酒　生　720ml,日本酒,,,,(有)渡辺酒造店,岐阜県,,720,1740,1914 ,リンゴや洋ナシのようなフレッシュな吟醸香、素直でバランスがい,Ｗシリーズ王道の看板酒,
W（ダブリュ）山田錦　　　　　　純米無濾過生原酒　,日本酒,,,,(有)渡辺酒造店,岐阜県,,720,1745,1920 ,フレッシュな吟醸香、丸みのある甘み、素直でバランスがいい。,無濾過生原酒,
Ｗ（ﾀﾞﾌﾞﾘｭｰ）殻良都　純米無濾過原酒,日本酒,,,,(有)渡辺酒造店,岐阜県,,720,1745,1920 ,落ち着いた香りに存在感のある米の旨味と酸味、爽快感のある後味,甘めのお酒好きに◎,
W 　　　　　　　　　　　　　飛騨ほまれ　純米無濾過生原酒,日本酒,,,,渡辺酒造,岐阜県,,720,1890,2079 ,ナッツの香り、焼きたての餅のような風味が、口の中を駆け巡る。,精米歩合45％,
Ｗ（ﾀﾞﾌﾞﾘｭー）先祖返り飛騨みのり　純米無濾過生原酒72,日本酒,,,,(有)渡辺酒造店,岐阜県,,720,1880,2068 ,奥深く芳醇な甘み、甦った稀少な米で醸す逸品,全国で唯一の幻酒米,
Ｗ（ダブリュ）高島雄町　　　　生?純米無濾過,日本酒,,,,(有)渡辺酒造店,岐阜県,,720,2054,2259 ,リンゴのような芳香。優しく包容力のある飲み口。,生?仕込み,
◆Ｗ（ﾀﾞﾌﾞﾘｭｰ）殻良都　純米無濾過原酒　火入　720ml,日本酒,,,,(有)渡辺酒造店,岐阜県,,720,1740,1914 ,落ち着いた香りに存在感のある米の旨味と酸味、爽快感のある後味,甘めのお酒好きに◎,
W　　　　　　　　　　　　　　　　出羽燦々50　純米無濾過生原酒,日本酒,,,,渡辺酒造,岐阜県,,720,1990,2189 ,パイナップル、花の香り。甘みと広がる酸味。,山形県外解禁,
W（ダブリュ）赤磐雄町　　　　　純米無濾過生原酒　,日本酒,,,,(有)渡辺酒造店,岐阜県,,720,1745,1920 ,ソフトに広がる甘酸っぱい洋ナシのような香り,無濾過生原酒,
Ｗ（ﾀﾞﾌﾞﾘｭｰ）愛山50　純米　　　　無濾過原酒,日本酒,,,,(有)渡辺酒造店,岐阜県,,720,1963,2159 ,濃厚で芳醇な味わい、米の旨味がしっかりと感じられる。,濃厚！旨味たっぷり,
◆Ｗ（ﾀﾞﾌﾞﾘｭｰ）愛山50　純米　　　　無濾過原酒　火入れ　,日本酒,,,,(有)渡辺酒造店,岐阜県,,720,1963,2159 ,甘くイチゴのような芳醇な吟醸香、トロリとした艶やかな甘み。 ,濃厚旨口,
久野九平次テロワール黒田庄町福地,日本酒,,,,㈱萬乗醸造,愛知県,,720,6800,7480 ,スッキリと上品で微かな甘みの余韻を感じられる。,自社栽培米使用,
醸し人九平次　別誂　第一幕,日本酒,,,,㈱萬乗醸造,愛知県,,720,3500,3850 ,濃厚なお米の風味を直接感じることができる仕上がり。,数量限定品,
醸し人九平次　別誂　第二幕,日本酒,,,,㈱萬乗醸造,愛知県,,720,3500,3850 ,酸味がその濃厚な風味とバランス良く調和しています。,数量限定品,
W（ダブリュ）亀の尾　　　　　　純米無濾過生原酒　,日本酒,,,,(有)渡辺酒造店,岐阜県,,720,1954,2149 ,メロンのふくよかな香りの中に、ナッツの様な香味が見え隠れ,無濾過生原酒,
醸し人九平次　別説　第三幕　閃光の種　720,日本酒,,,,（株）萬乗醸造,愛知県,,720,3500,3850 ,グリーンアップルやマスカットのような白ブドウを思わせるフレーバー,限定販売,
蓬莱　酵母まつり　槽場詰め　純米無濾過生原酒,日本酒,,,,(有)渡辺酒造店,岐阜県,,720,1781,1959 ,大人気の祭り酒！酵母のパワー全開！しゅわしゅわ微炭酸！,ロッドNo付限定酒,
